tier,company,ats,id,api_endpoint,rnd_jobs,total_jobs,category,size,top_cities,hiring_evidence,id_source
C,Fabric,comeet,fabric/52.009,https://www.comeet.co/careers-api/2.0/company/52.009/positions?token=52.009,0,0,E-commerce & Retail,l,,large known R&D org; hiring NOT verified,techmap/companies
C,Gilat Satellite Networks,comeet,gilat/39.005,https://www.comeet.co/careers-api/2.0/company/39.005/positions?token=39.005,0,2,Telecommunications,l,פתח תקווה,large known R&D org; hiring NOT verified,techmap/companies; techmap/jobs(live)
C,Gong,greenhouse,gongio,https://boards-api.greenhouse.io/v1/boards/gongio/jobs,0,0,,,,large known R&D org; hiring NOT verified,web_search(URL observed)
C,Guesty,comeet,guesty/10.000,https://www.comeet.co/careers-api/2.0/company/10.000/positions?token=10.000,0,2,E-commerce & Retail,l,תל אביב-יפו,large known R&D org; hiring NOT verified,techmap/companies; techmap/jobs(live)
C,Insightec,greenhouse,insightec,https://boards-api.greenhouse.io/v1/boards/insightec/jobs,0,1,Health,l,טירת כרמל,large known R&D org; hiring NOT verified,techmap/companies
C,LiveU,comeet,liveu/90.00C,https://www.comeet.co/careers-api/2.0/company/90.00C/positions?token=90.00C,0,3,Telecommunications,l,כפר סבא,large known R&D org; hiring NOT verified,techmap/companies; techmap/jobs(live)
C,NeoGames,comeet,neogames/16.00C,https://www.comeet.co/careers-api/2.0/company/16.00C/positions?token=16.00C,0,0,Gaming,l,,large known R&D org; hiring NOT verified,techmap/companies
C,Novidea Software,comeet,novidea/E5.00A,https://www.comeet.co/careers-api/2.0/company/E5.00A/positions?token=E5.00A,0,0,Fintech,l,,large known R&D org; hiring NOT verified,techmap/companies
C,Optimove,greenhouse,optimove,https://boards-api.greenhouse.io/v1/boards/optimove/jobs,0,1,AdTech,l,תל אביב-יפו,large known R&D org; hiring NOT verified,web_search(URL observed)
C,Panaya,comeet,panaya/61.00C,https://www.comeet.co/careers-api/2.0/company/61.00C/positions?token=61.00C,0,2,AI/ML,l,הוד השרון,large known R&D org; hiring NOT verified,techmap/companies; techmap/jobs(live)
C,REE Automotive,comeet,ree/D3.00B,https://www.comeet.co/careers-api/2.0/company/D3.00B/positions?token=D3.00B,0,0,Automotive,l,,large known R&D org; hiring NOT verified,techmap/companies
C,Sauce,lever,Sauce,https://api.lever.co/v0/postings/Sauce?mode=json  (EU: api.eu.lever.co),0,0,,,,large known R&D org; hiring NOT verified,web_search(URL observed)
C,SentinelOne,greenhouse,sentinellabs,https://boards-api.greenhouse.io/v1/boards/sentinellabs/jobs,0,0,,,,large known R&D org; hiring NOT verified,web_search(URL observed)
C,Tavily,ashby,tavily,https://api.ashbyhq.com/posting-api/job-board/tavily,0,0,,,,large known R&D org; hiring NOT verified,web_search(URL observed)
C,Team8,comeet,team8/61.003,https://www.comeet.co/careers-api/2.0/company/61.003/positions?token=61.003,0,0,,,,large known R&D org; hiring NOT verified,web_search(URL observed)
C,Trigo,comeet,trigo/A6.005,https://www.comeet.co/careers-api/2.0/company/A6.005/positions?token=A6.005,0,2,Robotics & Automation,l,תל אביב-יפו,large known R&D org; hiring NOT verified,techmap/companies; techmap/jobs(live)
C,Verifone,greenhouse,verifone,https://boards-api.greenhouse.io/v1/boards/verifone/jobs,0,1,Telecommunications,l,ראש העין,large known R&D org; hiring NOT verified,techmap/companies
